Model,API,Text Completion,Chat Completion,Vision
mistralai/Mixtral-8x7B-Instruct-v0.1,Not Responding,---,---,⌀
Qwen/Qwen2-0.5B-Instruct,Not Responding,---,---,⌀
mistralai/Mistral-7B-Instruct-v0.1,Not Responding,---,---,⌀
DrNicefellow/GPT-2-Large-32k-steps,Not Responding,---,---,⌀
bigcode/santacoder,Not Responding,---,---,⌀
HuggingFaceM4/idefics-9b-instruct,Not Responding,---,---,⌀
EleutherAI/gpt-neo-2.7B,Not Responding,---,---,⌀
EleutherAI/gpt-neo-125m,Not Responding,---,---,⌀
Doctor-Shotgun/TinyLlama-1.1B-32k,Not Responding,---,---,⌀
meta-llama/Meta-Llama-3-70B-Instruct,Not Responding,---,---,⌀
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,Not Responding,---,---,⌀
tiiuae/falcon-7b-instruct,Not Responding,---,---,⌀
juewang/Meta-Llama-3-2B-mlp-layer-pruned,Not Responding,---,---,⌀
01-ai/Yi-1.5-34B-Chat,Not Responding,---,---,⌀
bigcode/starcoder2-15b,Not Responding,---,---,⌀
meta-llama/Llama-2-7b-chat-hf,Not Responding,---,---,⌀
Felladrin/Llama-68M-Chat-v1,Not Responding,---,---,⌀
MBZUAI/LaMini-GPT-774M,Not Responding,---,---,⌀
microsoft/DialoGPT-medium,Not Responding,---,---,⌀
bigcode/starcoder,Not Responding,---,---,⌀
bigcode/octocoder,Not Responding,---,---,⌀
CohereForAI/c4ai-command-r-plus,Not Responding,---,---,⌀
Gustavosta/MagicPrompt-Stable-Diffusion,Not Responding,---,---,⌀
microsoft/phi-2,Not Responding,---,---,⌀
codellama/CodeLlama-7b-hf,Not Responding,---,---,⌀
tiiuae/falcon-7b,Not Responding,---,---,⌀
meta-llama/Llama-2-13b-chat-hf,Not Responding,---,---,⌀
google/gemma-1.1-7b-it,Not Responding,---,---,⌀
google/gemma-1.1-2b-it,Not Responding,---,---,⌀
uer/gpt2-chinese-cluecorpussmall,Not Responding,---,---,⌀
Pi3141/DialoGPT-medium-elon-2,Not Responding,---,---,⌀
HuggingFaceH4/starchat2-15b-v0.1,Not Responding,---,---,⌀
HuggingFaceH4/zephyr-7b-beta,Not Responding,---,---,⌀
HuggingFaceM4/idefics2-8b-chatty,Not Responding,---,---,✓
huggingartists/kendrick-lamar,Not Responding,---,---,⌀
Qwen/Qwen2-1.5B-Instruct,Not Responding,---,---,⌀
codellama/CodeLlama-13b-hf,Not Responding,---,---,⌀
openai-community/gpt2,Not Responding,---,---,⌀
EleutherAI/gpt-neox-20b,Not Responding,---,---,⌀
bigcode/starcoderplus,Not Responding,---,---,⌀
bigscience/bloom,Not Responding,---,---,⌀
google/gemma-7b,Not Responding,---,---,⌀
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,Not Responding,---,---,⌀
AI4PD/ZymCTRL,Not Responding,---,---,⌀
HuggingFaceH4/starchat-beta,Not Responding,---,---,⌀
HuggingFaceM4/idefics2-8b,Not Responding,---,---,✓
meta-llama/Meta-Llama-3-8B-Instruct,Not Responding,---,---,⌀
microsoft/DialoGPT-large,Not Responding,---,---,⌀
mistralai/Mistral-7B-Instruct-v0.2,Not Responding,---,---,⌀
sapienzanlp/Minerva-3B-base-v1.0,Not Responding,---,---,⌀
CohereForAI/aya-23-35B,Not Responding,---,---,⌀
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Not Responding,---,---,⌀
kashif/stack-llama-2,Not Responding,---,---,⌀
google/gemma-2b,Not Responding,---,---,⌀
mistralai/Mistral-7B-Instruct-v0.3,Not Responding,---,---,⌀
codellama/CodeLlama-34b-Instruct-hf,Not Responding,---,---,⌀
distilbert/distilgpt2,Not Responding,---,---,⌀
sapienzanlp/Minerva-1B-base-v1.0,Not Responding,---,---,⌀
meta-llama/Llama-2-7b-hf,Not Responding,---,---,⌀
TinyLlama/TinyLlama_v1.1,Not Responding,---,---,⌀
OpenAssistant/oasst-sft-1-pythia-12b,Not Responding,---,---,⌀
mistralai/Mistral-7B-v0.1,Not Responding,---,---,⌀
HuggingFaceH4/zephyr-7b-alpha,Not Responding,---,---,⌀
microsoft/Phi-3-mini-4k-instruct,Not Responding,---,---,⌀
flax-community/gpt-neo-125M-code-clippy-dedup-2048,Not Responding,---,---,⌀
meta-llama/Llama-2-13b-hf,Not Responding,---,---,⌀
bigcode/starcoder2-3b,Not Responding,---,---,⌀
openai-community/gpt2-medium,Not Responding,---,---,⌀
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,Not Responding,---,---,⌀
EleutherAI/gpt-neo-1.3B,Not Responding,---,---,⌀
